company,rank,rank_change,revenue,profit,num of employees,sector,city,state,newcomer,ceo_founder,ceo_woman,profitable,prev_rank,CEO,Website,Ticker,Market Cap,description
Centene,26,-2,125982,1347,72500,Health Care,St. Louis,MO,no,no,yes,yes,24,Sarah M. London,www.centene.com,CNC,53429,"Centene Corporation is a Fortune 100 company that specializes in the healthcare industry. As a diversified, multi-national healthcare enterprise, Centene specializes in providing a wide range of programs and services to government-sponsored healthcare programs, focusing on under-insured and uninsured individuals. Centene operates health plans, including Medicaid, Medicare, and the Health Insurance Marketplace, as well as specialty services such as behavioral health, long-term care, and pharmacy benefit management. The company's core operations are centered around improving the access and quality of healthcare for individuals and families in need across the United States."
Meta Platforms,27,7,117929,39370,71970,Technology,Menlo Park,CA,no,yes,no,yes,34,Mark Zuckerberg,https://investor.fb.com,META,475718,"Meta Platforms, formerly known as Facebook, is a multinational technology company based in the United States. It is one of the largest social media companies in the world, operating various social networking platforms such as Facebook, Instagram, WhatsApp, and Messenger. Meta Platforms' core operations revolve around connecting people and communities through its platforms, allowing users to share content, stay connected with friends and family, and discover new information and trends. In addition to social networking, Meta Platforms also delves into virtual reality (VR) technology through its Oculus brand, aiming to revolutionize the way people interact and communicate in a virtual environment. With a vast user base and a strong focus on innovation, Meta Platforms continues to play a significant role in shaping the digital landscape and how people connect online."
Comcast,28,-2,116385,14159,189000,Telecommunications,Philadelphia,PA,no,no,no,yes,26,Brian L. Roberts,www.comcastcorporation.com,CMCSA,185069,"Comcast is a leading telecommunications and media company in the United States. It provides a variety of services including cable television, internet, home security, and telephone services to residential and commercial customers. The company also owns the NBCUniversal media conglomerate, which includes a wide range of entertainment assets such as NBC, Universal Pictures, and several cable networks. Comcast is known for its innovation and investment in cutting-edge technology to deliver high-quality services to its customers."
Phillips 66,29,19,114852,1317,14000,Energy,Houston,TX,no,no,no,yes,48,Mark E. Lashier,www.phillips66.com,PSX,41091,"Phillips 66 is a leading energy manufacturing and logistics company that operates across the globe. The company is involved in the refining, marketing, and distribution of petroleum products. Phillips 66 also has a significant presence in the midstream and chemicals sectors, including transportation, storage, and processing of oil and gas products. Their operations span across various segments of the energy industry, allowing them to play a crucial role in meeting the world's growing energy needs. Additionally, Phillips 66 is committed to sustainability and innovation, constantly seeking ways to operate more efficiently and reduce their environmental impact."
Valero Energy,30,23,108332,930,9804,Energy,San Antonio,TX,no,no,no,yes,53,Joseph W. Gorder,www.valero.com,VLO,44376,"Valero Energy Corporation is an American multinational energy company headquartered in San Antonio, Texas. The company is one of the largest refining companies in the United States and operates 15 refineries across North America with a total throughput capacity of over 3 million barrels per day. Valero is also involved in the marketing and distribution of gasoline, diesel, and jet fuel through its extensive network of retail outlets and wholesale customers. Additionally, the company has investments in renewable fuels and ethanol production. Valero Energy is committed to sustainable practices and strives to be a leader in the energy industry."
Dell Technologies,31,-3,106995,5563,133000,Technology,Round Rock,TX,no,yes,no,yes,28,Michael S. Dell,www.delltechnologies.com,DELL,32568,"Dell Technologies is a multinational technology company that provides a wide range of products and services in the IT sector. It is known for its expertise in computer hardware, software, and cloud computing solutions. Dell offers a variety of products including desktops, laptops, servers, storage devices, and networking equipment to cater to the needs of individuals, businesses, and other organizations. In addition, the company provides consulting services to help businesses optimize their IT infrastructure and digital transformation initiatives. Dell Technologies is known for its innovation, quality products, and customer-centric approach in the technology industry."
Target,32,-2,106005,6946,450000,Retailing,Minneapolis,MN,no,no,no,yes,30,Brian C. Cornell,www.target.com,TGT,71112,"Target Corporation is a leading retail company in the United States. It was founded in 1902 and has since grown to become one of the largest and most recognizable retail chains in the country. Target specializes in offering a wide range of products including apparel, home goods, electronics, beauty products, and groceries. The company operates both physical stores and an online platform, providing customers with a convenient shopping experience. Target is known for its affordable pricing, trendy merchandise, and exclusive collaborations with designers and brands. With a focus on providing a pleasant shopping environment and exceptional customer service, Target continues to be a popular destination for consumers seeking quality products at competitive prices."
Fannie Mae,33,-8,101543,22176,7400,Financials,Washington,DC,no,no,no,yes,25,David C. Benson,www.fanniemae.com,FNMA,3961,"Fannie Mae, or the Federal National Mortgage Association, is a government-sponsored enterprise that plays a crucial role in the United States housing market. It was established to provide stability, affordability, and liquidity to the mortgage market. Fannie Mae buys home loans from lenders, packages them into mortgage-backed securities, and sells them to investors, thereby freeing up capital for banks to lend to more homebuyers. By doing so, Fannie Mae helps to make homeownership more accessible for Americans across the country."
United Parcel Service,34,1,97287,12890,400945,Transportation,Atlanta,GA,no,no,yes,yes,35,Carol B. Tomé,www.ups.com,UPS,162355,"United Parcel Service (UPS) is a global logistics and package delivery company. Founded in 1907, UPS is one of the world's largest shipping carriers, known for its brown delivery trucks and uniforms. The company offers a range of services, including domestic and international shipping, freight transportation, supply chain management, and courier services. UPS operates a vast network of distribution centers, hubs, and vehicles to efficiently transport packages to destinations around the world. With its focus on reliable and timely delivery, UPS plays a crucial role in facilitating global trade and commerce."
Lowe's,35,-4,96250,8442,270000,Retailing,Mooresville,NC,no,no,no,yes,31,Marvin R. Ellison,www.lowes.com,LOW,120655,"Lowe's Companies, Inc. is a Fortune100 company and one of the largest home improvement retailers in the United States. The company operates a chain of retail stores offering a wide range of products for home improvement, construction, maintenance, and repair. Lowe's stores sell various items such as appliances, tools, lumber, hardware, plumbing, and electrical supplies, as well as home decor and outdoor living products. With a focus on providing quality products and excellent customer service, Lowe's aims to help customers with their DIY projects, home renovations, and maintenance needs. Additionally, Lowe's offers installation services and operates an online platform for customers to shop conveniently."
Bank of America,36,-7,93851,31978,208248,Financials,Charlotte,NC,no,no,no,yes,29,Brian T. Moynihan,www.bankofamerica.com,BAC,268697,"Bank of America is one of the largest financial institutions in the United States, offering a wide range of banking and financial services to individual consumers, small businesses, and large corporations. The company provides services such as retail banking, wealth management, investment banking, and asset management. With a vast network of branches and ATMs across the country, Bank of America serves millions of customers, making it a key player in the banking industry. The company is known for its innovative digital banking services and commitment to providing financial solutions to help customers achieve their goals."
Johnson & Johnson,37,-1,93775,20878,141700,Health Care,New Brunswick,NJ,no,no,no,yes,36,Joaquin Duato,www.jnj.com,JNJ,451785,"Johnson & Johnson is a multinational corporation that focuses on pharmaceuticals, medical devices, and consumer packaged goods. It is one of the largest healthcare companies in the world, known for its commitment to improving the health and well-being of people globally. Johnson & Johnson's operations include pharmaceutical research and development, producing medical devices for surgeries and patient care, as well as popular consumer healthcare products ranging from baby care to skin care. The company is dedicated to innovation, ethical business practices, and social responsibility, making it a trusted name in the healthcare industry."
Archer Daniels Midland,38,13,85249,2709,39979,"Food, Beverages & Tobacco",Chicago,IL,no,no,no,yes,51,Juan R. Luciano,www.adm.com,ADM,41545,"Archer Daniels Midland, commonly known as ADM, is a global food processing and commodities trading corporation based in the United States. With a focus on transforming agricultural products into food ingredients, animal feed, and renewable energy sources, ADM is one of the world's largest processors of soybeans, corn, and wheat. The company also operates in the production of oils, sweeteners, and ingredients for various industries. ADM plays a significant role in the global food supply chain, providing essential products and services to customers in over 170 countries."
FedEx,39,6,83959,5231,484000,Transportation,Memphis,TN,no,yes,no,yes,45,Rajesh Subramaniam,www.fedex.com,FDX,58577,"FedEx Corporation is a global courier delivery services company known for its reliable and efficient transportation, logistics, and shipping solutions. Founded in 1971, FedEx has grown to become a leader in the industry, serving millions of customers worldwide.

The core operations of FedEx include express shipping, ground shipping, freight services, logistics solutions, and e-commerce support. With a widespread network of transportation hubs and delivery centers, FedEx offers a range of services to meet the diverse shipping needs of businesses and individuals.

FedEx is renowned for its commitment to innovation, investing in advanced technologies to streamline operations and improve customer experience. Through its iconic purple and orange branding, FedEx has built a strong reputation for fast, reliable, and convenient delivery services."
Humana,40,1,83064,2933,95500,Health Care,Louisville,KY,no,no,no,yes,41,Bruce D. Broussard,www.humana.com,HUM,62653,"Humana is a leading health insurance company in the United States, ranking #41 on the Fortune 100 list. The company specializes in providing a wide range of health insurance products and services, including medical, dental, vision, Medicare and Medicaid plans, as well as wellness programs and health management solutions. Humana is known for its focus on promoting health and well-being, offering innovative healthcare solutions to its members, and collaborating with healthcare providers to improve the quality and accessibility of care. With a strong emphasis on preventive care and personalized health management, Humana aims to help individuals achieve their best health outcomes and lead fulfilling lives."
Wells Fargo,41,-4,82407,21548,247848,Financials,San Francisco,CA,no,no,no,yes,37,Charles W. Scharf,www.wellsfargo.com,WFC,162606,"Wells Fargo is a multinational financial services company based in the United States. It is one of the largest banks in the country, providing a wide range of banking, investment, mortgage, and consumer financial services. Wells Fargo operates through various divisions, including community banking, wholesale banking, and wealth and investment management. The company is known for its extensive branch network and online banking services. Wells Fargo serves millions of customers across the United States and globally, offering products and services for both individuals and businesses."
State Farm Insurance,42,-3,82224.7,1280.9,53586,Financials,Bloomington,IL,no,no,no,yes,39,Michael L. Tipsord,www.statefarm.com,,,"State Farm is a well-known Fortune 100 insurance company based in the United States. It is the largest provider of auto and home insurance in the country, offering a wide range of insurance products and financial services to its customers. State Farm is known for its extensive network of agents and excellent customer service. The company's core operations focus on providing insurance coverage for individuals, families, and businesses to help protect them against unforeseen events and risks. State Farm also offers banking and investment products to further meet the financial needs of its customers."
Pfizer,43,34,81288,21979,79000,Health Care,New York,NY,no,no,no,yes,77,Albert Bourla,www.pfizer.com,PFE,288232,"Pfizer is a renowned multinational pharmaceutical company with a focus on developing and producing a wide range of medications and vaccines that improve the health and well-being of people worldwide. The company's core operations include research, development, manufacturing, and marketing of prescription drugs across various therapeutic areas such as immunology, oncology, cardiology, and vaccines. Pfizer is dedicated to advancing medical science to address unmet healthcare needs and enhance patient outcomes."
Citigroup,44,-11,79865,21952,221768,Financials,New York,NY,no,no,yes,yes,33,Jane Fraser,www.citigroup.com,C,100976,"Citigroup is a multinational financial services corporation based in the United States. As one of the world's largest and most diversified financial institutions, Citigroup operates in various segments including consumer banking, corporate and investment banking, securities brokerage, wealth management, and card services. 

Citigroup provides a wide range of financial products and services to individuals, corporations, governments, and institutions in over 160 countries. The company's global presence and comprehensive offerings have established Citigroup as a key player in the global financial industry."
PepsiCo,45,-1,79474,7618,309000,"Food, Beverages & Tobacco",Purchase,NY,no,no,no,yes,44,Ramon L. Laguarta,www.pepsico.com,PEP,234697,"PepsiCo is a multinational food and beverage company that is a household name around the world. Known for its iconic brands such as Pepsi, Lay's, Doritos, Quaker, and Gatorade, PepsiCo operates in the production, marketing, and distribution of a wide range of snacks, beverages, and food products. The company's core operations include developing and selling popular carbonated and non-carbonated beverages, as well as a variety of snacks and breakfast foods. With a focus on innovation, sustainability, and delivering tasty and convenient products, PepsiCo continues to be a leading player in the global food and beverage industry."
Intel,46,-6,79024,19868,121100,Technology,Santa Clara,CA,no,no,no,yes,40,Patrick P. Gelsinger,www.intel.com,INTC,164460,"Intel Corporation is a leading multinational technology company known for its innovations in semiconductor manufacturing. Founded in 1968, Intel is headquartered in Santa Clara, California, and is a key player in the production of microprocessors for a wide range of devices, including personal computers, servers, mobile devices, and networking equipment. The company also provides solutions for data centers, cloud computing, artificial intelligence, and autonomous driving technologies. Intel's core operations include designing and manufacturing advanced integrated circuits and developing software products to complement its hardware offerings. Intel's products are used globally and have a significant impact on the technology industry, driving advancements in computing performance and capabilities."
Procter & Gamble,47,-4,76118,14306,101000,Household Products,Cincinnati,OH,no,no,no,yes,43,Jon R. Moeller,www.pg.com,PG,345595,"Procter & Gamble (P&G) is a multinational consumer goods corporation headquartered in Cincinnati, Ohio. Established in 1837, P&G has grown to become one of the largest and most successful companies in the world. It operates in segments such as beauty, grooming, health care, fabric & home care, and baby, feminine, & family care.

P&G is known for its wide range of popular brands including Gillette, Pampers, Tide, Head & Shoulders, Pantene, Olay, and many more. The company's products are sold in over 180 countries, catering to the needs of consumers worldwide.

P&G’s core operations revolve around developing and marketing consumer goods that improve the lives of individuals and families. With a focus on innovation, sustainability, and social responsibility, P&G continues to lead the way in the consumer goods industry."
General Electric,48,-10,74196,-6520,168000,Industrials,Boston,MA,no,no,no,no,38,H. Lawrence Culp Jr.,www.ge.com,GE,73458,"General Electric, also known as GE, is a multinational conglomerate that operates in various industries including aviation, healthcare, power, renewable energy, digital, additive manufacturing, venture capital and finance. GE was founded in 1892 by Thomas Edison and has since grown to become one of the largest and most diverse companies in the world. The company is known for its innovation and technology-driven solutions that aim to address global challenges in areas such as energy efficiency, healthcare, and transportation. GE's core operations include manufacturing and selling a wide range of products and services such as aircraft engines, medical imaging equipment, power generation systems, and industrial software solutions."
IBM,49,-7,72344,5743,297800,Technology,Armonk,NY,no,no,no,yes,42,Arvind Krishna,https://www.ibm.com,IBM,107307,"IBM, short for International Business Machines Corporation, is a multinational technology company that specializes in providing hardware, software, and cloud-based services to a wide range of industries. IBM is known for its expertise in enterprise IT solutions, artificial intelligence, data analytics, cybersecurity, and blockchain technology. The company also offers consulting services to assist businesses in adopting digital transformations and optimizing their operations. With a long history of innovation and a strong presence in the global market, IBM continues to be a leading player in advancing technology and driving digital progress across various sectors."
MetLife,50,-4,71080,6554,43000,Financials,New York,NY,no,no,no,yes,46,Michel A. Khalaf,www.metlife.com,MET,49443,"MetLife is one of the largest insurance companies in the world, ranking in the Fortune 100 list. The company offers a wide range of insurance and financial services, including life insurance, retirement planning, employee benefits, and asset management. MetLife has a global presence, operating in over 60 countries and serving millions of customers worldwide. The company is known for its strong financial performance and commitment to helping individuals and businesses achieve financial security and peace of mind."
Prudential Financial,51,4,70934,7724,40916,Financials,Newark,NJ,no,no,no,yes,55,Charles F. Lowrey,www.prudential.com,PRU,35689,"Prudential Financial, headquartered in Newark, New Jersey, is a Fortune 100 company that offers a wide range of financial products and services. Founded in 1875, Prudential is a leading provider of insurance, investment management, and retirement solutions to individuals and institutions worldwide. The company's core operations include life insurance, annuities, mutual funds, and investment management services. Prudential is known for its strong financial stability, customer-centric approach, and commitment to helping customers achieve their financial goals."
